protAlbicans,geneID,protAuris,start,end,ANNOT_GENE_NAME,function,length,Ident,Align,Mismatches,Gaps,qStart,qEnd,sStart,sEnd,EValue,Score,qCover,ANNOT_GENE_ENTREZ_ID
CR_04390C_A-T-p1,B9J08_005543,PIS48189.1,17290,18540,CR_04390C_A,"Ortholog of C. dubliniensis CD36 : Cd36_29750, C. parapsilosis CDC317 : CPAR2_205260, C. auris B8441 : B9J08_005543 and Candida tenuis NRRL Y-1498 : CANTEDRAFT_91782",795,38.1,307,152,9,137,415,498,794,7.85e-39,146,67.1,
CR_04380C_A-T-p1,B9J08_005544,PIS48190.1,19075,20765,CR_04380C_A,Coatomer subunit beta [Source:UniProtKB/TrEMBL;Acc:Q5A6M6],952,65.1,550,190,2,17,564,121,670,9.28e-234,668,97.2,
C5_03080C_A-T-p1,B9J08_004898,PIS48215.1,9608,11365,C5_03080C_A,MFS domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1D8PNK9],671,42.2,625,302,9,17,585,50,671,6.95e-147,437,97.3,
C4_04190C_A-T-p1,B9J08_004899,PIS48216.1,12071,14629,C4_04190C_A,Acetyltransf_6 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1D8PM20],848,37.4,732,400,11,157,852,139,848,2.71e-148,456,81.7,
C6_03470W_A-T-p1,B9J08_004900,PIS48217.1,16339,17649,C6_03470W_A,CRAL-TRIO domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1D8PQ60],621,42.0,326,188,1,111,435,295,620,2.95e-86,273,74.5,
CR_07190W_A-T-p1,B9J08_004902,PIS48218.1,18881,21463,CR_07190W_A,"Ortholog(s) have GTPase activator activity and role in establishment or maintenance of actin cytoskeleton polarity, small GTPase mediated signal transduction",879,51.5,829,359,9,1,809,1,806,4.78e-271,773,94.1,
C3_03850C_A-T-p1,B9J08_004903,PIS48219.1,23730,24524,C3_03850C_A,Sol1p [Source:UniProtKB/TrEMBL;Acc:Q59ST9],238,31.5,162,75,5,63,217,103,235,2.05e-12,63.2,58.7,
CR_08710W_A-T-p1,B9J08_004904,PIS48220.1,24563,26341,CR_08710W_A,"Protein of unknown function, Spider biofilm repressed",717,34.1,697,288,17,43,592,43,715,1.13e-111,348,92.9,
CR_08690C_A-T-p1,B9J08_004905,PIS48221.1,27450,28283,CR_08690C_A,Dodecenoyl-CoA isomerase [Source:UniProtKB/TrEMBL;Acc:Q5A318],305,56.3,277,120,1,1,277,30,305,1.97e-112,324,100,
CR_08680C_A-T-p1,B9J08_004906,PIS48222.1,28396,30711,CR_08680C_A,Nitrogen permease regulator 3 [Source:UniProtKB/Swiss-Prot;Acc:Q5A319],715,47.6,788,323,13,1,771,1,715,4.34e-197,574,100,
CR_08660W_A-T-p1,B9J08_004907,PIS48223.1,30740,38014,CR_08660W_A,JAB_MPN domain-containing protein [Source:UniProtKB/TrEMBL;Acc:Q5A322],2416,72.8,2368,596,17,72,2424,81,2416,0.0,3505,97.1,
CR_08650C_A-T-p1,B9J08_004908,PIS48224.1,39826,42111,CR_08650C_A,Putative ubiquitin-protein ligase [Source:UniProtKB/TrEMBL;Acc:A0A1D8PTS8],714,35.1,700,391,22,103,761,37,714,1.40e-111,353,86.6,
CR_08640C_A-T-p1,B9J08_004909,PIS48225.1,42745,44460,CR_08640C_A,Aminotran_1_2 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:Q5A325],587,57.4,564,229,5,13,570,28,586,2.89e-225,634,97.7,
CR_08630W_A-T-p1,B9J08_004910,PIS48226.1,44588,46327,CR_08630W_A,Anaphase promoting complex subunit [Source:UniProtKB/TrEMBL;Acc:Q5A326],582,61.0,580,210,5,4,577,8,577,5.04e-189,541,99.1,
CR_08610W_A-T-p1,B9J08_004912,PIS48228.1,47555,47959,CR_08610W_A,Mitochondrial pyruvate carrier [Source:UniProtKB/TrEMBL;Acc:Q5A328],132,80.2,131,23,1,1,128,1,131,1.02e-73,214,95.5,
CR_08200C_A-T-p1,B9J08_004913,PIS48229.1,48160,52638,CR_08200C_A,ATP-binding cassette bilirubin transporter [Source:UniProtKB/TrEMBL;Acc:A0A1D8PTN6],1490,50.3,1496,711,12,9,1489,8,1485,0.0,1402,99.3,
CR_08210C_A-T-p1,B9J08_004914,PIS48230.1,54674,57031,CR_08210C_A,"Aconitate hydratase, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:P82611]",777,88.4,773,88,2,1,773,1,771,0.0,1394,98.5,
C2_06960W_A-T-p1,B9J08_004916,PIS48231.1,58775,59662,C2_06960W_A,PABS domain-containing protein [Source:UniProtKB/TrEMBL;Acc:Q59Z50],297,85.3,293,43,0,3,295,4,296,7.48e-197,538,99.3,
C7_02020W_A-T-p1,B9J08_004917,PIS48232.1,59883,60962,C7_02020W_A,DNA repair protein RAD14 [Source:UniProtKB/Swiss-Prot;Acc:P53709],396,52.5,400,154,7,3,374,5,396,6.76e-128,371,99.5,
C7_02030W_A-T-p1,B9J08_004918,PIS48233.1,61761,63887,C7_02030W_A,Heat shock protein 90 homolog [Source:UniProtKB/Swiss-Prot;Acc:P46598],707,85.9,708,92,3,4,708,5,707,0.0,1112,99.6,
C7_04150W_A-T-p1,B9J08_004919,PIS48234.1,63963,66863,C7_04150W_A,"Putative protein of unknown function, Hap43p-repressed gene, ortholog of S. cerevisiae YMR185W",967,49.7,985,439,21,3,962,4,957,5.83e-291,831,99.4,
C7_04140C_A-T-p1,B9J08_004920,PIS48235.1,67117,67755,C7_04140C_A,ANK_REP_REGION domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1D8PRI6],212,56.2,185,77,2,3,183,4,188,1.07e-50,161,85.4,
C7_04130C_A-T-p1,B9J08_004921,PIS48236.1,68483,69325,C7_04130C_A,eIF2B_5 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1D8PRJ6],281,72.7,286,65,5,1,279,1,280,1.30e-122,349,99.6,
C7_04120W_A-T-p1,B9J08_004922,PIS48237.1,69520,69987,C7_04120W_A,"Ortholog of C. dubliniensis CD36 : Cd36_73790, C. parapsilosis CDC317 : CPAR2_702880, C. auris B8441 : B9J08_004922 and Candida tenuis NRRL Y-1498 : CANTEDRAFT_92070",135,28.5,158,78,3,1,152,3,131,2.10e-11,56.2,98.1,
C7_04110W_A-T-p1,B9J08_004923,PIS48238.1,70099,71166,C7_04110W_A,Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1D8PRI2],364,59.3,364,135,2,1,354,1,361,3.23e-155,438,99.7,
C7_04100C_A-T-p1,B9J08_004924,PIS48239.1,71461,71820,C7_04100C_A,Mediator of RNA polymerase II transcription subunit 9 [Source:UniProtKB/TrEMBL;Acc:A0A1D8PRH8],218,36.0,89,54,1,28,113,124,212,1.26e-16,70.5,72.3,
C7_01950W_A-T-p1,B9J08_004925,PIS48240.1,72186,72995,C7_01950W_A,Rhomboid protein 2 [Source:UniProtKB/Swiss-Prot;Acc:Q5AH12],284,44.7,262,135,4,18,269,18,279,6.89e-62,194,93.7,
C7_01960W_A-T-p1,B9J08_004926,PIS48241.1,73448,75691,C7_01960W_A,Inheritance of peroxisomes protein 1 [Source:UniProtKB/TrEMBL;Acc:Q5AH13],684,30.2,669,341,23,108,747,113,684,5.79e-46,172,85.7,
C7_01970C_A-T-p1,B9J08_004927,PIS48242.1,75885,77036,C7_01970C_A,Tom40p [Source:UniProtKB/TrEMBL;Acc:Q5AH14],390,69.4,373,110,4,12,381,13,384,1.74e-187,522,96.6,
C7_01800C_A-T-p1,B9J08_004928,PIS48243.1,78898,81732,C7_01800C_A,ATP-dependent 6-phosphofructokinase [Source:UniProtKB/TrEMBL;Acc:Q5AGZ8],946,67.2,945,307,2,1,942,1,945,0.0,1256,99.8,
CR_06860C_A-T-p1,B9J08_004930,PIS48245.1,83168,85018,CR_06860C_A,Phenylpyruvate decarboxylase [Source:UniProtKB/TrEMBL;Acc:Q59MU3],629,48.5,612,289,14,17,614,22,621,5.03e-187,540,97.1,
C7_04180W_A-T-p1,B9J08_004931,PIS48246.1,86036,88276,C7_04180W_A,AMP-binding domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1D8PRJ9],746,50.6,714,337,10,31,739,38,740,5.97e-242,689,95.0,
C7_01810W_A-T-p1,B9J08_004932,PIS48247.1,88491,89912,C7_01810W_A,RuvB-like helicase 2 [Source:UniProtKB/Swiss-Prot;Acc:Q5AGZ9],498,85.1,456,66,1,3,456,5,460,2.06e-271,743,95.8,
C7_01820C_A-T-p1,B9J08_004933,PIS48248.1,90022,90507,C7_01820C_A,V-type proton ATPase proteolipid subunit [Source:UniProtKB/TrEMBL;Acc:Q5AH00],163,84.1,157,25,0,5,161,6,162,4.18e-89,255,97.5,
C7_01840W_A-T-p1,B9J08_004935,PIS48250.1,91834,96426,C7_01840W_A,Ras GTPase-activating-like protein IQG1 [Source:UniProtKB/Swiss-Prot;Acc:Q5AH02],1647,42.6,1663,800,26,5,1530,3,1647,0.0,1174,99.7,
C7_01850C_A-T-p1,B9J08_004936,PIS48251.1,96467,98480,C7_01850C_A,Coronin [Source:UniProtKB/TrEMBL;Acc:A0A1D8PQZ0],633,57.2,678,236,6,1,672,1,630,8.04e-238,671,100,
C1_00880W_A-T-p1,B9J08_004937,PIS48252.1,99711,100412,C1_00880W_A,C2H2-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1D8PCC7],541,24.5,155,102,2,73,214,268,420,1.22e-07,49.7,60.9,
C1_00870W_A-T-p1,B9J08_004938,PIS48253.1,100549,102588,C1_00870W_A,Phospholipid:diacylglycerol acyltransferase [Source:UniProtKB/TrEMBL;Acc:A0A1D8PCB0],698,62.2,625,207,7,56,677,98,696,9.62e-287,798,91.6,
C1_00860W_A-T-p1,B9J08_004939,PIS48254.1,102941,103879,C1_00860W_A,Autophagy-related protein 3 [Source:UniProtKB/Swiss-Prot;Acc:Q5ABQ7],333,52.7,336,132,7,1,312,1,333,8.56e-110,320,100,
C7_03350C_A-T-p1,B9J08_004941,PIS48256.1,107536,108447,C7_03350C_A,Aldo_ket_red domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1D8PRB0],309,43.0,286,153,8,6,285,12,293,6.73e-72,222,92.4,
C1_00820W_A-T-p1,B9J08_004942,PIS48257.1,108470,109450,C1_00820W_A,PCI domain-containing protein [Source:UniProtKB/TrEMBL;Acc:Q5ABE6],348,26.6,271,148,7,85,320,89,343,4.85e-18,81.6,72.4,
C1_00800C_A-T-p1,B9J08_004943,PIS48258.1,110202,110858,C1_00800C_A,C-8 sterol isomerase [Source:UniProtKB/TrEMBL;Acc:A0A1D8PCB9],217,66.7,207,69,0,12,218,11,217,1.10e-104,299,95.0,
C1_00830W_A-T-p1,B9J08_004944,PIS48259.1,111432,113120,C1_00830W_A,"Protein with a predicted multidrug transporter domain, Hap43-repressed gene",599,58.7,574,212,3,14,562,26,599,1.19e-222,627,97.7,
C1_00780C_A-T-p1,B9J08_004946,PIS48261.1,115856,117355,C1_00780C_A,Hypha-specific G1 cyclin-related protein 1 [Source:UniProtKB/Swiss-Prot;Acc:Q5ABE2],785,43.2,338,164,7,16,328,46,380,8.92e-91,291,62.7,
C1_00770C_A-T-p1,B9J08_004947,PIS48262.1,119245,119967,C1_00770C_A,Protein ROT1 [Source:UniProtKB/Swiss-Prot;Acc:Q5ABP8],260,66.5,239,66,4,15,240,22,259,9.27e-110,314,94.2,
C1_00750C_A-T-p1,B9J08_004948,PIS48263.1,120216,122537,C1_00750C_A,Vacuolar protein sorting-associated protein 27 [Source:UniProtKB/Swiss-Prot;Acc:Q5ABD9],841,43.8,592,265,12,1,548,1,568,1.73e-126,396,70.9,
C1_00740C_A-T-p1,B9J08_004949,PIS48264.1,122914,124311,C1_00740C_A,Ornithine decarboxylase [Source:UniProtKB/Swiss-Prot;Acc:P78599],473,56.3,423,170,6,54,462,52,473,1.48e-164,471,88.0,
C1_00730C_A-T-p1,B9J08_004950,PIS48265.1,124960,126645,C1_00730C_A,Serine/threonine-protein phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A1D8PCA8],609,66.6,599,156,7,6,560,9,607,8.94e-290,798,98.9,
C1_03040W_A-T-p1,B9J08_004951,PIS48266.1,126892,127593,C1_03040W_A,"Protein of unknown function, induced by nitric oxide, rat catheter and Spider biofilm induced",252,21.7,221,134,8,18,222,36,233,1.66e-04,39.7,88.0,
C1_03050W_A-T-p1,B9J08_004952,PIS48267.1,128098,131064,C1_03050W_A,"Ortholog of S. cerevisiae : ECM30, C. glabrata CBS138 : CAGL0M00924g, C. dubliniensis CD36 : Cd36_02850, C. parapsilosis CDC317 : CPAR2_110240 and C. auris B8441 : B9J08_004952",1051,35.3,1085,569,26,1,987,1,1050,2.26e-182,555,99.9,
C1_03060C_A-T-p1,B9J08_004953,PIS48268.1,131111,131725,C1_03060C_A,Tsr2p [Source:UniProtKB/TrEMBL;Acc:Q5AI56],209,59.7,211,76,4,1,204,1,209,4.72e-72,215,100,
C1_03070C_A-T-p1,B9J08_004954,PIS48269.1,131828,134119,C1_03070C_A,Origin recognition complex subunit 1 [Source:UniProtKB/TrEMBL;Acc:A0A1D8PCY1],805,55.9,435,181,4,335,763,376,805,9.59e-149,452,56.2,
C1_03080C_A-T-p1,B9J08_004955,PIS48270.1,134593,135178,C1_03080C_A,Ras family GTPase [Source:UniProtKB/TrEMBL;Acc:A0A1D8PCX9],200,92.8,194,14,0,5,198,7,200,2.99e-129,360,95.1,
C1_03090W_A-T-p1,B9J08_004956,PIS48271.1,136727,137497,C1_03090W_A,40S ribosomal protein S1 [Source:UniProtKB/Swiss-Prot;Acc:P40910],256,91.0,256,23,0,1,256,1,256,1.82e-168,463,100,
C1_03100W_A-T-p1,B9J08_004957,PIS48272.1,139492,143805,C1_03100W_A,Putative lipid-binding protein with a predicted role in calcium-dependent phospholipid-binding,1417,54.1,1378,586,12,71,1438,76,1417,0.0,1434,95.0,
C1_03110W_A-T-p1,B9J08_004958,PIS48273.1,144646,145131,C1_03110W_A,60S ribosomal protein L6 [Source:UniProtKB/TrEMBL;Acc:A0A1D8PCX8],176,87.5,160,20,0,6,165,17,176,7.15e-94,268,97.0,
C1_03790C_A-T-p1,B9J08_004959,PIS48274.1,145334,146614,C1_03790C_A,FK506-binding protein 3 [Source:UniProtKB/Swiss-Prot;Acc:Q59VR3],426,68.8,439,111,4,1,426,1,426,2.46e-112,334,100,
C4_06530C_A-T-p1,B9J08_004960,PIS48275.1,147890,149608,C4_06530C_A,Xut1p [Source:UniProtKB/TrEMBL;Acc:Q5A1D7],591,67.8,552,173,3,5,552,6,556,1.03e-277,767,95.8,
C2_03050W_A-T-p1,B9J08_004961,PIS48276.1,149694,150749,C2_03050W_A,"Sensitive to high expression protein 9 homolog, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:Q5A0L7]",524,63.3,221,81,0,40,260,218,438,4.97e-84,262,63.0,
C2_03040W_A-T-p1,B9J08_004962,PIS48277.1,151066,151965,C2_03040W_A,PLCXc domain-containing protein [Source:UniProtKB/TrEMBL;Acc:Q5A0L4],295,63.4,298,106,2,1,298,1,295,3.59e-147,413,99.7,
C2_03020C_A-T-p1,B9J08_004964,PIS48279.1,154817,156706,C2_03020C_A,"Ortholog of S. cerevisiae : TPH3, C. dubliniensis CD36 : Cd36_17790, C. parapsilosis CDC317 : CPAR2_212150, C. auris B8441 : B9J08_004964 and Candida tenuis NRRL Y-1498 : CANTEDRAFT_128815",686,42.8,559,248,20,19,531,138,670,5.89e-111,346,81.6,
C2_03010C_A-T-p1,B9J08_004965,PIS48280.1,157772,159049,C2_03010C_A,Ribonucleotide-diphosphate reductase subunit [Source:UniProtKB/TrEMBL;Acc:Q5A0L0],413,77.0,427,82,3,1,425,1,413,2.98e-235,646,100,
C2_03000C_A-T-p1,B9J08_004966,PIS48281.1,159388,160371,C2_03000C_A,18S rRNA aminocarboxypropyltransferase [Source:UniProtKB/TrEMBL;Acc:A0A1D8PGR1],346,69.3,290,82,3,1,285,1,288,7.24e-133,380,87.2,
C2_02990C_A-T-p1,B9J08_004967,PIS48282.1,162304,166218,C2_02990C_A,5-oxoprolinase [Source:UniProtKB/TrEMBL;Acc:A0A1D8PGR6],1303,72.4,1306,344,6,7,1304,6,1303,0.0,1909,99.5,
C2_02840C_A-T-p1,B9J08_004968,PIS48283.1,166594,170220,C2_02840C_A,UPF0507 protein C2_02840C_A [Source:UniProtKB/Swiss-Prot;Acc:Q5A0J0],1189,39.1,1215,687,19,8,1206,10,1187,1.60e-287,839,99.3,
C2_02830C_A-T-p1,B9J08_004969,PIS48284.1,170425,171489,C2_02830C_A,TPR_REGION domain-containing protein [Source:UniProtKB/TrEMBL;Acc:Q5A0I8],344,63.0,322,105,6,2,317,4,317,2.36e-89,270,89.3,
C3_05720C_A-T-p1,B9J08_004970,PIS48285.1,171744,174185,C3_05720C_A,Kinesin-like protein [Source:UniProtKB/TrEMBL;Acc:A0A1D8PKA4],972,56.4,690,273,4,3,667,20,706,1.47e-242,701,81.8,
C3_05700W_A-T-p1,B9J08_004972,PIS48287.1,175925,177904,C3_05700W_A,Chs4p [Source:UniProtKB/TrEMBL;Acc:A0A1D8PK97],751,50.9,582,223,11,131,659,180,751,1.62e-166,493,80.3,
C3_05680W_A-T-p1,B9J08_004973,PIS48288.1,179243,179941,C3_05680W_A,UBC core domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1D8PKG7],243,63.1,206,71,2,1,201,1,206,5.48e-86,253,86.6,
C1_03720C_A-T-p1,B9J08_004974,PIS48289.1,180419,182017,C1_03720C_A,"Protein of unknown function, rat catheter biofilm repressed",590,50.7,550,245,11,2,532,48,590,1.84e-186,533,99.8,
C3_05650W_A-T-p1,B9J08_004977,PIS48292.1,184958,186379,C3_05650W_A,Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1D8PKB4],495,76.2,467,82,6,27,473,38,495,7.79e-240,663,94.5,
C1_03990W_A-T-p1,B9J08_004978,PIS48293.1,187086,187910,C1_03990W_A,AN1-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1D8PD55],308,37.1,307,146,11,11,274,6,308,8.84e-55,177,96.4,
C1_03800W_A-T-p1,B9J08_004979,PIS48294.1,188703,189626,C1_03800W_A,RNA-binding RNA processing protein [Source:UniProtKB/TrEMBL;Acc:A0A1D8PD31],310,43.7,277,142,6,2,269,3,274,7.13e-70,217,87.3,
C1_03810C_A-T-p1,B9J08_004980,PIS48295.1,189669,190553,C1_03810C_A,Elongin-A [Source:UniProtKB/TrEMBL;Acc:A0A1D8PD64],392,37.4,203,98,7,4,182,19,216,7.27e-26,103,60.9,
C1_03820W_A-T-p1,B9J08_004982,PIS48296.1,192775,193815,C1_03820W_A,CRAL-TRIO domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1D8PD50],369,70.6,327,94,1,19,345,44,368,4.26e-171,478,94.5,
C1_03830C_A-T-p1,B9J08_004983,PIS48297.1,193926,194762,C1_03830C_A,EXOSC1 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1D8PD51],330,38.3,311,153,7,6,277,18,328,3.46e-64,202,97.8,
C1_03840W_A-T-p1,B9J08_004984,PIS48298.1,195842,196159,C1_03840W_A,"(orf19.1026.1) Ortholog of C. dubliniensis CD36 : Cd36_03580, C. parapsilosis CDC317 : CPAR2_105090, C. auris B8441 : B9J08_004984 and Candida tenuis NRRL Y-1498 : CANTEDRAFT_106351",89,52.0,75,33,2,25,96,10,84,2.89e-22,81.3,68.6,
C1_03860C_A-T-p1,B9J08_004985,PIS48299.1,196202,199921,C1_03860C_A,Bni4p [Source:UniProtKB/TrEMBL;Acc:A0A1D8PD43],1655,30.2,830,339,31,621,1239,855,1655,1.97e-51,197,50.0,
C1_03870C_A-T-p1,B9J08_004986,PIS48300.1,201657,202673,C1_03870C_A,GLOBIN domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1D8PD58],563,44.7,255,102,4,54,269,181,435,1.01e-53,183,63.9,
C1_01510W_A-T-p1,B9J08_004987,PIS48301.1,205655,207352,C1_01510W_A,"Protein of unknown function, merged with orf19.3338, rat catheter, flow and Spider model biofilm induced, promoter bound by Bcr1, Efg1, Ndt80, and Rob1, orf19.3338 Bcr1-repressed in RPMI a/a biofilms",717,38.2,301,101,5,337,552,397,697,3.87e-49,179,38.2,
C1_01490W_A-T-p1,B9J08_004989,PIS48303.1,213571,214155,C1_01490W_A,"Plasma membrane protein of unknown function, colony morphology-related gene regulation by Ssn6, repressed by nitric oxide",200,47.5,122,50,2,82,193,79,196,5.22e-28,102,57.7,
