protAlbicans,geneID,protAuris,start,end,ANNOT_GENE_NAME,function,length,Ident,Align,Mismatches,Gaps,qStart,qEnd,sStart,sEnd,EValue,Score,qCover,ANNOT_GENE_ENTREZ_ID
C5_00510W_A-T-p1,B9J08_005576,PIS48151.1,26008,27435,C5_00510W_A,"Ortholog of C. dubliniensis CD36 : Cd36_50520, C. parapsilosis CDC317 : CPAR2_304000, C. auris B8441 : B9J08_000441 and Candida tenuis NRRL Y-1498 : cten_CGOB_00233",481,40.000,40,21,1,3,42,31,67,5.5,27.7,7,
C4_00130W_A-T-p1,B9J08_005545,PIS48157.1,2039,2731,C4_00130W_A,GPI-anchored hemophore RBT5 [Source:UniProtKB/Swiss-Prot;Acc:Q59UT4],241,43.725,247,116,6,1,230,1,241,9.16e-48,155,100,
C3_07700W_A-T-p1,B9J08_005546,PIS48158.1,4541,5539,C3_07700W_A,FSH1 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:Q5ADX4],259,41.860,43,24,1,74,116,51,92,0.52,29.6,13,
C4_02450W_A-T-p1,B9J08_005547,PIS48159.1,6158,7096,C4_02450W_A,Thioredoxin domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1D8PLK0],332,25.758,66,46,2,216,278,198,263,0.72,29.3,20,
C6_03600C_A-T-p1,B9J08_005548,PIS48160.1,7968,9506,C6_03600C_A,"Putative cytochrome P450, Spider biofilm induced",526,43.168,505,270,6,11,508,29,523,7.69e-146,427,97,
C1_11860W_A-T-p1,B9J08_005550,PIS48161.1,10525,13170,C1_11860W_A,"Predicted essential RNA-binding G protein, ortholog an effector of mating response pathway in S. cerevisiae, mainly associated with nuclear envelope and ER, flow model and Spider biofilm repressed",1220,23.974,926,562,28,17,875,113,963,1.79e-38,153,98,
C6_02450W_A-T-p1,B9J08_005551,PIS48162.1,17647,18870,C6_02450W_A,"Ortholog of S. pombe SPCC550.08, an N-acetyltransferase, transcript induced during growth in the mouse cecum",267,27.632,76,52,2,69,141,121,196,5.0,26.9,18,
C6_03470W_A-T-p1,B9J08_005552,PIS48163.1,22740,24047,C6_03470W_A,CRAL-TRIO domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1D8PQ60],621,45.062,324,177,1,109,431,295,618,5.97e-95,296,93,
C2_06470W_A-T-p1,B9J08_005553,PIS48164.1,26146,27108,C2_06470W_A,Phospholipid-translocating ATPase [Source:UniProtKB/TrEMBL;Acc:Q59Q40],453,22.184,293,169,8,5,253,105,382,2.93e-15,73.9,78,
C2_06470W_A-T-p1,B9J08_005554,PIS48165.1,28753,29673,C2_06470W_A,Phospholipid-translocating ATPase [Source:UniProtKB/TrEMBL;Acc:Q59Q40],453,25.175,286,162,6,11,256,109,382,2.96e-20,88.6,80,
C7_02630W_A-T-p1,B9J08_005555,PIS48166.1,31304,32683,C7_02630W_A,Arrestin_N domain-containing protein [Source:UniProtKB/TrEMBL;Acc:Q59LZ4],638,31.579,114,68,2,1,104,1,114,2.47e-10,60.5,23,
C3_07860C_A-T-p1,B9J08_005556,PIS48167.1,33881,36043,C3_07860C_A,multidrug resistance regulator 2 [Source:UniProtKB/Swiss-Prot;Acc:Q59MJ1],710,22.505,551,343,22,139,673,201,683,1.77e-13,72.0,74,
C1_04860W_A-T-p1,B9J08_005557,PIS48168.1,36871,37425,C1_04860W_A,"Ortholog of S. cerevisiae : YPR089W, C. glabrata CBS138 : CAGL0K08008g, C. dubliniensis CD36 : Cd36_04600, C. parapsilosis CDC317 : CPAR2_105630 and C. auris B8441 : B9J08_004487",856,23.333,90,62,1,15,97,169,258,0.49,28.9,45,
C6_01410C_A-T-p1,B9J08_005558,PIS48169.1,38119,38652,C6_01410C_A,Oxidored_FMN domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1D8PPM0],403,34.694,49,30,1,45,93,54,100,0.35,29.3,28,
C3_04270C_A-T-p1,B9J08_005559,PIS48170.1,39307,39807,C3_04270C_A,Ctp1p [Source:UniProtKB/TrEMBL;Acc:A0A1D8PJV4],294,32.759,58,37,1,34,91,191,246,0.24,29.3,35,
C3_04760C_A-T-p1,B9J08_005560,PIS48171.1,40562,41092,C3_04760C_A,UvrD-like helicase ATP-binding domain-containing protein [Source:UniProtKB/TrEMBL;Acc:Q5ANG6],2018,26.027,73,54,0,69,141,1927,1999,0.24,30.0,41,
CR_04640W_A-T-p1,B9J08_005561,PIS48172.1,41619,42140,CR_04640W_A,Dit1p [Source:UniProtKB/TrEMBL;Acc:A0A1D8PSU4],508,28.090,89,54,4,31,112,84,169,0.033,32.3,47,
C7_02630W_A-T-p1,B9J08_005562,PIS48173.1,43777,45189,C7_02630W_A,Arrestin_N domain-containing protein [Source:UniProtKB/TrEMBL;Acc:Q59LZ4],638,30.612,98,61,1,16,106,17,114,3.29e-08,53.9,19,
C7_02630W_A-T-p1,B9J08_005563,PIS48174.1,46320,47672,C7_02630W_A,Arrestin_N domain-containing protein [Source:UniProtKB/TrEMBL;Acc:Q59LZ4],638,27.344,128,64,4,16,124,17,134,0.007,36.6,24,
C3_05580C_A-T-p1,B9J08_005564,PIS48175.1,48797,50563,C3_05580C_A,General amino-acid permease GAP2 [Source:UniProtKB/Swiss-Prot;Acc:A0A1D8PK89],588,65.816,588,196,4,4,588,3,588,0.0,771,99,
C1_05300C_A-T-p1,B9J08_005565,PIS48176.1,55065,57107,C1_05300C_A,Peptidase_M3 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:Q5A2A7],702,39.823,678,398,7,5,676,27,700,3.10e-172,507,99,
C7_02180C_A-T-p1,B9J08_005535,PIS48181.1,1259,1798,C7_02180C_A,Trs33p [Source:UniProtKB/TrEMBL;Acc:Q5AH42],212,65.497,171,56,2,10,179,44,212,1.78e-84,246,95,
C7_02170C_A-T-p1,B9J08_005536,PIS48182.1,5501,6436,C7_02170C_A,Iwr1 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:Q5AH41],342,41.813,342,161,9,1,309,1,337,9.61e-67,210,99,
C7_02130W_A-T-p1,B9J08_005537,PIS48183.1,6786,7124,C7_02130W_A,Short-chain dehydrogenase/reductase [Source:UniProtKB/TrEMBL;Acc:A0A1D8PR28],345,62.500,104,39,0,8,111,86,189,9.71e-38,127,93,
C1_00360W_A-T-p1,B9J08_005538,PIS48184.1,7490,8428,C1_00360W_A,Cdc13p [Source:UniProtKB/TrEMBL;Acc:Q5AB98],447,27.174,92,63,3,155,246,306,393,0.001,37.7,29,
C7_02150C_A-T-p1,B9J08_005539,PIS48185.1,9049,10023,C7_02150C_A,"Arginine biosynthesis bifunctional protein ArgJ, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:Q5AH38]",439,74.154,325,83,1,1,324,115,439,2.09e-172,483,100,
C7_02120C_A-T-p1,B9J08_005540,PIS48186.1,11044,11484,C7_02120C_A,L51_S25_CI-B8 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:Q5AH35],153,31.973,147,93,4,1,140,1,147,3.54e-23,87.0,96,
C7_02110W_A-T-p1,B9J08_005541,PIS48187.1,11620,13545,C7_02110W_A,PHD-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1D8PR21],688,39.380,645,317,17,24,641,91,688,1.95e-132,402,96,
C7_02100W_A-T-p1,B9J08_005542,PIS48188.1,14851,15801,C7_02100W_A,Peptidase_M24 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1D8PR11],387,57.609,368,143,2,13,367,12,379,2.04e-156,443,93,
CR_04390C_A-T-p1,B9J08_005543,PIS48189.1,17290,18540,CR_04390C_A,"Ortholog of C. dubliniensis CD36 : Cd36_29750, C. parapsilosis CDC317 : CPAR2_205260, C. auris B8441 : B9J08_005543 and Candida tenuis NRRL Y-1498 : CANTEDRAFT_91782",795,39.009,323,139,10,130,414,491,793,6.49e-37,140,69,
CR_04380C_A-T-p1,B9J08_005544,PIS48190.1,19075,20765,CR_04380C_A,Coatomer subunit beta [Source:UniProtKB/TrEMBL;Acc:Q5A6M6],952,65.091,550,190,2,17,564,121,670,0.0,716,97,
C3_03470W_A-T-p1,B9J08_004897,PIS48214.1,7617,7970,C3_03470W_A,Succinate-semialdehyde dehydrogenase [Source:UniProtKB/TrEMBL;Acc:Q5AEC3],491,33.333,36,24,0,51,86,379,414,1.6,26.2,31,
C5_03080C_A-T-p1,B9J08_004898,PIS48215.1,9608,11365,C5_03080C_A,MFS domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1D8PNK9],671,42.400,625,301,10,17,585,50,671,1.56e-164,483,97,
C4_04190C_A-T-p1,B9J08_004899,PIS48216.1,12071,14629,C4_04190C_A,Acetyltransf_6 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1D8PM20],848,37.158,767,420,13,121,852,109,848,4.64e-165,499,86,
C6_03470W_A-T-p1,B9J08_004900,PIS48217.1,16339,17649,C6_03470W_A,CRAL-TRIO domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1D8PQ60],621,42.025,326,188,1,111,435,295,620,7.24e-88,278,82,
CR_07560W_A-T-p1,B9J08_004902,PIS48218.1,18881,21463,CR_07560W_A,Rgd3p [Source:UniProtKB/TrEMBL;Acc:A0A1D8PTI9],879,51.691,828,359,8,1,809,1,806,0.0,847,94,
C3_03850C_A-T-p1,B9J08_004903,PIS48219.1,23730,24524,C3_03850C_A,Sol1p [Source:UniProtKB/TrEMBL;Acc:Q59ST9],238,32.716,162,73,6,63,217,103,235,4.18e-14,67.8,59,
CR_08710W_A-T-p1,B9J08_004904,PIS48220.1,24563,26341,CR_08710W_A,"Protein of unknown function, Spider biofilm repressed",717,35.104,527,235,14,43,493,43,538,4.04e-88,286,93,
CR_08690C_A-T-p1,B9J08_004905,PIS48221.1,27450,28283,CR_08690C_A,Dodecenoyl-CoA isomerase [Source:UniProtKB/TrEMBL;Acc:Q5A318],305,56.318,277,120,1,1,277,30,305,3.37e-116,334,100,
CR_08680C_A-T-p1,B9J08_004906,PIS48222.1,28396,30711,CR_08680C_A,Nitrogen permease regulator 3 [Source:UniProtKB/Swiss-Prot;Acc:Q5A319],715,45.616,787,340,13,1,771,1,715,0.0,631,100,
CR_08660W_A-T-p1,B9J08_004907,PIS48223.1,30740,38014,CR_08660W_A,JAB_MPN domain-containing protein [Source:UniProtKB/TrEMBL;Acc:Q5A322],2416,72.846,2368,602,16,69,2424,78,2416,0.0,3615,97,
CR_08650C_A-T-p1,B9J08_004908,PIS48224.1,39826,42111,CR_08650C_A,Putative ubiquitin-protein ligase [Source:UniProtKB/TrEMBL;Acc:A0A1D8PTS8],714,34.857,700,395,21,102,761,36,714,5.57e-125,388,87,
CR_08640C_A-T-p1,B9J08_004909,PIS48225.1,42745,44460,CR_08640C_A,Aminotran_1_2 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:Q5A325],587,57.345,565,230,5,12,570,27,586,0.0,652,98,
CR_08630W_A-T-p1,B9J08_004910,PIS48226.1,44588,46327,CR_08630W_A,Anaphase promoting complex subunit [Source:UniProtKB/TrEMBL;Acc:Q5A326],582,61.140,579,211,3,4,577,8,577,0.0,722,99,
CR_08620C_A-T-p1,B9J08_004911,PIS48227.1,46398,47534,CR_08620C_A,"Ortholog of C. dubliniensis CD36 : Cd36_34210, C. parapsilosis CDC317 : CPAR2_205590, C. auris B8441 : B9J08_004911 and Candida tenuis NRRL Y-1498 : cten_CGOB_00133",354,36.820,239,136,5,46,273,58,292,1.38e-35,131,60,
CR_08610W_A-T-p1,B9J08_004912,PIS48228.1,47555,47959,CR_08610W_A,Mitochondrial pyruvate carrier [Source:UniProtKB/TrEMBL;Acc:Q5A328],132,80.153,131,23,1,1,128,1,131,3.95e-74,215,96,
CR_08200C_A-T-p1,B9J08_004913,PIS48229.1,48160,52638,CR_08200C_A,ATP-binding cassette bilirubin transporter [Source:UniProtKB/TrEMBL;Acc:A0A1D8PTN6],1490,50.401,1498,706,14,9,1489,8,1485,0.0,1491,99,
CR_08210C_A-T-p1,B9J08_004914,PIS48230.1,54674,57031,CR_08210C_A,"Aconitate hydratase, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:P82611]",777,88.357,773,88,2,1,773,1,771,0.0,1434,98,
C2_06960W_A-T-p1,B9J08_004916,PIS48231.1,58775,59662,C2_06960W_A,PABS domain-containing protein [Source:UniProtKB/TrEMBL;Acc:Q59Z50],297,85.324,293,43,0,3,295,4,296,0.0,541,99,
C7_02020W_A-T-p1,B9J08_004917,PIS48232.1,59883,60962,C7_02020W_A,DNA repair protein RAD14 [Source:UniProtKB/Swiss-Prot;Acc:P53709],396,53.086,405,144,8,3,374,5,396,1.47e-142,408,99,
C7_02030W_A-T-p1,B9J08_004918,PIS48233.1,61761,63887,C7_02030W_A,Heat shock protein 90 homolog [Source:UniProtKB/Swiss-Prot;Acc:P46598],707,86.299,708,89,3,4,708,5,707,0.0,1187,99,
C7_04150W_A-T-p1,B9J08_004919,PIS48234.1,63963,66863,C7_04150W_A,"Putative protein of unknown function, Hap43p-repressed gene, ortholog of S. cerevisiae YMR185W",967,48.934,985,447,22,3,962,4,957,0.0,855,99,
C7_04140C_A-T-p1,B9J08_004920,PIS48235.1,67117,67755,C7_04140C_A,ANK_REP_REGION domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1D8PRI6],212,52.913,206,91,3,3,202,4,209,1.16e-64,197,94,
C7_04130C_A-T-p1,B9J08_004921,PIS48236.1,68483,69325,C7_04130C_A,eIF2B_5 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1D8PRJ6],281,70.833,288,69,5,1,280,1,281,2.48e-120,343,100,
C7_04120W_A-T-p1,B9J08_004922,PIS48237.1,69520,69987,C7_04120W_A,"Ortholog of C. dubliniensis CD36 : Cd36_73790, C. parapsilosis CDC317 : CPAR2_702880, C. auris B8441 : B9J08_004922 and Candida tenuis NRRL Y-1498 : CANTEDRAFT_92070",135,29.560,159,75,4,1,152,3,131,1.99e-16,69.3,98,
C7_04110W_A-T-p1,B9J08_004923,PIS48238.1,70099,71166,C7_04110W_A,Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1D8PRI2],364,61.918,365,124,3,1,354,1,361,1.27e-167,470,99,
C7_04100C_A-T-p1,B9J08_004924,PIS48239.1,71461,71820,C7_04100C_A,Mediator of RNA polymerase II transcription subunit 9 [Source:UniProtKB/TrEMBL;Acc:A0A1D8PRH8],218,35.556,90,55,1,27,113,123,212,2.35e-17,72.4,73,
C7_01950W_A-T-p1,B9J08_004925,PIS48240.1,72186,72995,C7_01950W_A,Rhomboid protein 2 [Source:UniProtKB/Swiss-Prot;Acc:Q5AH12],284,44.656,262,135,4,18,269,18,279,1.63e-64,201,94,
C7_01960W_A-T-p1,B9J08_004926,PIS48241.1,73448,75691,C7_01960W_A,Inheritance of peroxisomes protein 1 [Source:UniProtKB/TrEMBL;Acc:Q5AH13],684,30.862,661,347,23,108,747,113,684,2.17e-58,208,86,
C7_01970C_A-T-p1,B9J08_004927,PIS48242.1,75885,77036,C7_01970C_A,Tom40p [Source:UniProtKB/TrEMBL;Acc:Q5AH14],390,68.490,384,115,5,3,381,2,384,0.0,546,99,
C7_01800C_A-T-p1,B9J08_004928,PIS48243.1,78898,81732,C7_01800C_A,ATP-dependent 6-phosphofructokinase [Source:UniProtKB/TrEMBL;Acc:Q5AGZ8],946,68.148,945,298,2,1,942,1,945,0.0,1355,99,
C7_04170W_A-T-p1,B9J08_004929,PIS48244.1,81875,82687,C7_04170W_A,TBCC domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1D8PRJ7],255,26.087,207,143,5,2,205,6,205,5.52e-15,70.9,76,
CR_06860C_A-T-p1,B9J08_004930,PIS48245.1,83168,85018,CR_06860C_A,Phenylpyruvate decarboxylase [Source:UniProtKB/TrEMBL;Acc:Q59MU3],629,47.319,634,303,15,1,615,1,622,0.0,560,99,
C7_04180W_A-T-p1,B9J08_004931,PIS48246.1,86036,88276,C7_04180W_A,AMP-binding domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1D8PRJ9],746,50.560,714,337,10,31,739,38,740,0.0,709,95,
C7_01810W_A-T-p1,B9J08_004932,PIS48247.1,88491,89912,C7_01810W_A,RuvB-like helicase 2 [Source:UniProtKB/Swiss-Prot;Acc:Q5AGZ9],498,81.420,479,69,3,16,474,20,498,0.0,798,97,
C7_01820C_A-T-p1,B9J08_004933,PIS48248.1,90022,90507,C7_01820C_A,V-type proton ATPase proteolipid subunit [Source:UniProtKB/TrEMBL;Acc:Q5AH00],163,84.076,157,25,0,5,161,6,162,8.61e-92,262,98,
C7_01830W_A-T-p1,B9J08_004934,PIS48249.1,90822,91505,C7_01830W_A,MIND complex subunit [Source:UniProtKB/TrEMBL;Acc:Q5AH01],230,35.242,227,137,5,1,220,1,224,1.93e-40,136,97,
C7_01840W_A-T-p1,B9J08_004935,PIS48250.1,91834,96426,C7_01840W_A,Ras GTPase-activating-like protein IQG1 [Source:UniProtKB/Swiss-Prot;Acc:Q5AH02],1647,44.284,1662,773,26,5,1530,3,1647,0.0,1322,99,
C7_01850C_A-T-p1,B9J08_004936,PIS48251.1,96467,98480,C7_01850C_A,Coronin [Source:UniProtKB/TrEMBL;Acc:A0A1D8PQZ0],633,67.241,522,163,4,1,516,1,520,0.0,742,77,
C1_00880W_A-T-p1,B9J08_004937,PIS48252.1,99711,100412,C1_00880W_A,C2H2-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1D8PCC7],541,26.336,262,127,7,10,214,168,420,1.85e-12,63.9,88,
C1_00870W_A-T-p1,B9J08_004938,PIS48253.1,100549,102588,C1_00870W_A,Phospholipid:diacylglycerol acyltransferase [Source:UniProtKB/TrEMBL;Acc:A0A1D8PCB0],698,62.802,621,202,7,61,678,103,697,0.0,816,91,
C1_00860W_A-T-p1,B9J08_004939,PIS48254.1,102941,103879,C1_00860W_A,Autophagy-related protein 3 [Source:UniProtKB/Swiss-Prot;Acc:Q5ABQ7],333,55.621,338,119,8,1,312,1,333,2.44e-121,349,100,
C1_00840C_A-T-p1,B9J08_004940,PIS48255.1,106237,107226,C1_00840C_A,Nrm1p [Source:UniProtKB/TrEMBL;Acc:A0A1D8PCB2],576,48.889,45,22,1,282,325,528,572,4.48e-04,39.7,13,
C7_03350C_A-T-p1,B9J08_004941,PIS48256.1,107536,108447,C7_03350C_A,Aldo_ket_red domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1D8PRB0],309,42.160,287,156,7,5,285,11,293,4.87e-72,223,93,
C1_00820W_A-T-p1,B9J08_004942,PIS48257.1,108470,109450,C1_00820W_A,PCI domain-containing protein [Source:UniProtKB/TrEMBL;Acc:Q5ABE6],348,26.407,231,126,5,99,297,103,321,8.91e-14,69.3,61,
C1_00800C_A-T-p1,B9J08_004943,PIS48258.1,110202,110858,C1_00800C_A,C-8 sterol isomerase [Source:UniProtKB/TrEMBL;Acc:A0A1D8PCB9],217,66.507,209,70,0,10,218,9,217,3.70e-104,298,96,
C1_00830W_A-T-p1,B9J08_004944,PIS48259.1,111432,113120,C1_00830W_A,"Protein with a predicted multidrug transporter domain, Hap43-repressed gene",599,58.435,575,212,3,14,562,26,599,0.0,673,98,
C1_00790W_A-T-p1,B9J08_004945,PIS48260.1,113347,113934,C1_00790W_A,"Ortholog of C. dubliniensis CD36 : Cd36_00740, C. parapsilosis CDC317 : CPAR2_110170, C. auris B8441 : B9J08_004945 and Candida tenuis NRRL Y-1498 : CANTEDRAFT_133175",366,43.750,32,18,0,158,189,327,358,0.013,33.5,16,
C1_00780C_A-T-p1,B9J08_004946,PIS48261.1,115856,117355,C1_00780C_A,Hypha-specific G1 cyclin-related protein 1 [Source:UniProtKB/Swiss-Prot;Acc:Q5ABE2],785,43.064,346,171,7,16,337,46,389,1.92e-99,314,65,
C1_00770C_A-T-p1,B9J08_004947,PIS48262.1,119245,119967,C1_00770C_A,Protein ROT1 [Source:UniProtKB/Swiss-Prot;Acc:Q5ABP8],260,64.032,253,74,5,1,240,11,259,7.39e-115,327,100,
C1_00750C_A-T-p1,B9J08_004948,PIS48263.1,120216,122537,C1_00750C_A,Vacuolar protein sorting-associated protein 27 [Source:UniProtKB/Swiss-Prot;Acc:Q5ABD9],841,39.033,889,378,28,1,773,1,841,3.16e-151,461,100,
C1_00740C_A-T-p1,B9J08_004949,PIS48264.1,122914,124311,C1_00740C_A,Ornithine decarboxylase [Source:UniProtKB/Swiss-Prot;Acc:P78599],473,56.265,423,170,6,54,462,52,473,4.21e-172,490,88,
C1_00730C_A-T-p1,B9J08_004950,PIS48265.1,124960,126645,C1_00730C_A,Serine/threonine-protein phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A1D8PCA8],609,66.777,602,150,8,6,560,9,607,0.0,841,99,
C1_03040W_A-T-p1,B9J08_004951,PIS48266.1,126892,127593,C1_03040W_A,"Protein of unknown function, induced by nitric oxide, rat catheter and Spider biofilm induced",252,33.333,60,32,1,18,77,36,87,1.01e-04,40.4,26,
C1_03050W_A-T-p1,B9J08_004952,PIS48267.1,128098,131064,C1_03050W_A,"Ortholog of S. cerevisiae : ECM30, C. glabrata CBS138 : CAGL0M00924g, C. dubliniensis CD36 : Cd36_02850, C. parapsilosis CDC317 : CPAR2_110240 and C. auris B8441 : B9J08_004952",1051,35.365,1083,571,25,1,987,1,1050,0.0,582,99,
C1_03060C_A-T-p1,B9J08_004953,PIS48268.1,131111,131725,C1_03060C_A,Tsr2p [Source:UniProtKB/TrEMBL;Acc:Q5AI56],209,58.294,211,79,5,1,204,1,209,9.62e-76,224,100,
C1_03070C_A-T-p1,B9J08_004954,PIS48269.1,131828,134119,C1_03070C_A,Origin recognition complex subunit 1 [Source:UniProtKB/TrEMBL;Acc:A0A1D8PCY1],805,40.148,812,415,18,11,763,6,805,4.01e-178,528,99,
C1_03080C_A-T-p1,B9J08_004955,PIS48270.1,134593,135178,C1_03080C_A,Ras family GTPase [Source:UniProtKB/TrEMBL;Acc:A0A1D8PCX9],200,91.371,197,17,0,2,198,4,200,4.83e-134,372,97,
C1_03090W_A-T-p1,B9J08_004956,PIS48271.1,136727,137497,C1_03090W_A,40S ribosomal protein S1 [Source:UniProtKB/Swiss-Prot;Acc:P40910],256,91.016,256,23,0,1,256,1,256,1.38e-170,469,100,
C1_03100W_A-T-p1,B9J08_004957,PIS48272.1,139492,143805,C1_03100W_A,Putative lipid-binding protein with a predicted role in calcium-dependent phospholipid-binding,1417,52.856,1453,634,16,1,1438,1,1417,0.0,1457,99,
